,book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,language_code,average_rating,ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
0,1,2767052,2767052,2792775,272,439023483,9780439023480.0,Suzanne Collins,2008.0,The Hunger Games,eng,4.34,4780653,155254,66715,127936,560092,1481305,2706317
1,2,3,3,4640799,491,439554934,9780439554930.0,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,eng,4.44,4602479,75867,75504,101676,455024,1156318,3011543
2,3,41865,41865,3212258,226,316015849,9780316015840.0,Stephenie Meyer,2005.0,Twilight,en-US,3.57,3866839,95009,456191,436802,793319,875073,1355439
3,4,2657,2657,3275794,487,61120081,9780061120080.0,Harper Lee,1960.0,To Kill a Mockingbird,eng,4.25,3198671,72586,60427,117415,446835,1001952,1714267
4,5,4671,4671,245494,1356,743273567,9780743273560.0,F. Scott Fitzgerald,1925.0,The Great Gatsby,eng,3.89,2683664,51992,86236,197621,606158,936012,947718
5,6,11870085,11870085,16827462,226,525478817,9780525478810.0,John Green,2012.0,The Fault in Our Stars,eng,4.26,2346404,140739,47994,92723,327550,698471,1311871
6,7,5907,5907,1540236,969,618260307,9780618260300.0,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,en-US,4.25,2071616,37653,46023,76784,288649,665635,1119718
7,8,5107,5107,3036731,360,316769177,9780316769170.0,J.D. Salinger,1951.0,The Catcher in the Rye,eng,3.79,2044241,44920,109383,185520,455042,661516,709176
8,9,960,960,3338963,311,1416524797,9781416524790.0,Dan Brown,2000.0,Angels & Demons ,en-CA,3.85,2001311,25112,77841,145740,458429,716569,680175
9,10,1885,1885,3060926,3455,679783261,9780679783270.0,Jane Austen,1813.0,Pride and Prejudice,eng,4.24,2035490,49152,54700,86485,284852,609755,1155673
10,11,77203,77203,3295919,283,1594480001,9781594480000.0,Khaled Hosseini,2003.0,The Kite Runner ,eng,4.26,1813044,59730,34288,59980,226062,628174,929591
11,12,13335037,13335037,13155899,210,62024035,9780062024040.0,Veronica Roth,2011.0,Divergent,eng,4.24,1903563,101023,36315,82870,310297,673028,1114304
12,13,5470,5470,153313,995,451524934,9780451524940.0,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,eng,4.14,1956832,45518,41845,86425,324874,692021,908229
13,14,7613,7613,2207778,896,452284244,9780452284240.0,George Orwell,1945.0,Animal Farm: A Fairy Story,eng,3.87,1881700,35472,66854,135147,433432,698642,648912
14,15,48855,48855,3532896,710,553296981,9780553296980.0,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng,4.1,1972666,20825,45225,91270,355756,656870,875372
15,16,2429135,2429135,1708725,274,307269752,9780307269750.0,"Stieg Larsson, Reg Keeland",2005.0,Män som hatar kvinnor,eng,4.11,1808403,62543,54835,86051,285413,667485,836050
16,17,6148028,6148028,6171458,201,439023491,9780439023500.0,Suzanne Collins,2009.0,Catching Fire,eng,4.3,1831039,88538,10492,48030,262010,687238,980309
17,18,5,5,2402163,376,043965548X,9780439655480.0,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,Harry Potter and the Prisoner of Azkaban,eng,4.53,1832823,36099,6716,20413,166129,509447,1266670
18,19,34,34,3204327,566,618346252,9780618346260.0,J.R.R. Tolkien,1954.0, The Fellowship of the Ring,eng,4.34,1766803,15333,38031,55862,202332,493922,1042394
19,20,7260188,7260188,8812783,239,439023513,9780439023510.0,Suzanne Collins,2010.0,Mockingjay,eng,4.03,1719760,96274,30144,110498,373060,618271,738775
20,21,2,2,2809203,307,439358078,9780439358070.0,"J.K. Rowling, Mary GrandPré",2003.0,Harry Potter and the Order of the Phoenix,eng,4.46,1735368,28685,9528,31577,180210,494427,1124806
21,22,12232938,12232938,1145090,183,316166685,9780316166680.0,Alice Sebold,2002.0,The Lovely Bones,eng,3.77,1605173,36642,62777,131188,404699,583575,479323
22,23,15881,15881,6231171,398,439064864,9780439064870.0,"J.K. Rowling, Mary GrandPré",1998.0,Harry Potter and the Chamber of Secrets,eng,4.37,1779331,34172,8253,42251,242345,548266,1065084
23,24,6,6,3046572,332,439139600,9780439139600.0,"J.K. Rowling, Mary GrandPré",2000.0,Harry Potter and the Goblet of Fire,eng,4.53,1753043,31084,6676,20210,151785,494926,1195045
24,25,136251,136251,2963218,263,545010225,9780545010220.0,"J.K. Rowling, Mary GrandPré",2007.0,Harry Potter and the Deathly Hallows,eng,4.61,1746574,51942,9363,22245,113646,383914,1318227
25,26,968,968,2982101,350,307277674,9780307277670.0,Dan Brown,2003.0,The Da Vinci Code,eng,3.79,1447148,41560,71345,126493,340790,539277,479387
26,27,1,1,41335427,275,439785960,9780439785970.0,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,eng,4.54,1678823,27520,7308,21516,136333,459028,1161491
27,28,7624,7624,2766512,458,140283331,9780140283330.0,William Golding,1954.0,Lord of the Flies ,eng,3.64,1605019,26886,92779,160295,425648,564916,427846
28,29,18135,18135,3349450,1937,743477111,9780743477120.0,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,eng,3.73,1628519,14778,57980,153179,452673,519822,489235
29,30,8442457,19288043,13306276,196,297859382,9780297859380.0,Gillian Flynn,2012.0,Gone Girl,eng,4.03,512475,121614,38874,80807,280331,616031,610476
30,31,4667024,4667024,4717423,183,399155341,9780399155340.0,Kathryn Stockett,2009.0,The Help,eng,4.45,1531753,78204,10235,25117,134887,490754,942552
31,32,890,890,40283,373,142000671,9780142000670.0,John Steinbeck,1937.0,Of Mice and Men ,eng,3.84,1467496,24642,46630,110856,355169,532291,473795
32,33,930,929,1558965,220,739326228,9780739326220.0,Arthur Golden,1997.0,Memoirs of a Geisha,eng,4.08,1300209,25605,23500,59033,258700,517157,559782
33,34,10818853,10818853,15732562,169,1612130291,9781612130290.0,E.L. James,2011.0,Fifty Shades of Grey,eng,3.67,1338493,75437,165455,152293,252185,294976,571909
34,35,865,865,4835472,458,61122416,9780061122420.0,"Paulo Coelho, Alan R. Clarke",1988.0,O Alquimista,eng,3.82,1299566,55781,74846,123614,289143,412180,504212
35,36,3636,3636,2543234,192,385732554,9780385732550.0,Lois Lowry,1993.0,The Giver,eng,4.12,1296825,54084,26497,59652,225326,448691,585279
36,37,100915,100915,4790821,474,60764899,9780060764890.0,C.S. Lewis,1950.0,"The Lion, the Witch and the Wardrobe",eng,4.19,1531800,15186,19309,55542,262038,513366,734629
37,38,14050,18619684,2153746,167,965818675,9780965818670.0,Audrey Niffenegger,2003.0,The Time Traveler's Wife,eng,3.95,746287,43382,44339,85429,257805,427210,493884
38,39,13496,13496,1466917,101,553588486,9780553588480.0,George R.R. Martin,1996.0,A Game of Thrones,eng,4.45,1319204,46205,19988,28983,114092,404583,874574
39,40,19501,19501,3352398,185,143038419,9780143038410.0,Elizabeth Gilbert,2006.0,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",eng,3.51,1181647,49714,100373,149549,310212,332191,314272
40,41,28187,28187,3346751,159,786838655,9780786838650.0,Rick Riordan,2005.0,The Lightning Thief,eng,4.23,1366265,46006,18303,48294,219638,435514,689365
41,42,1934,1934,3244642,1707,451529308,9780451529300.0,Louisa May Alcott,1868.0,Little Women,en-US,4.04,1257121,17090,31645,70011,250794,426280,535563
42,43,10210,10210,2977639,2568,142437204,9780142437210.0,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,eng,4.1,1198557,31212,35132,64274,212294,400214,574221
43,44,15931,15931,1498135,190,553816713,9780553816720.0,Nicholas Sparks,1996.0,The Notebook,eng,4.06,1053403,17279,41395,63432,176469,298259,497194
44,45,4214,4214,1392700,264,770430074,9780770430080.0,Yann Martel,2001.0,Life of Pi,Not Available,3.88,1003228,42962,39768,74331,218702,384164,360466
45,46,43641,43641,3441236,128,1565125606,9781565125600.0,Sara Gruen,2006.0,Water for Elephants,eng,4.07,1068146,55732,16705,49832,200154,417328,424820
46,47,19063,19063,878368,251,375831002,9780375831000.0,Markus Zusak,2005.0,The Book Thief,eng,4.36,1159741,93611,17892,35360,135272,377218,722056
47,48,4381,4381,1272463,507,307347974,9780307347980.0,Ray Bradbury,1953.0,Fahrenheit 451,spa,3.97,570498,30694,28366,64289,238242,426292,419051
48,49,49041,49041,3203964,194,316160199,9780316160190.0,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",eng,3.52,1149630,44020,102837,160660,294207,290612,350684
49,50,30119,30119,30518,45,60513039,9780060513030.0,Shel Silverstein,1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,eng,4.29,1016888,9234,16590,30792,139024,293222,544153
50,51,256683,256683,2267189,178,1416914285,9781416914280.0,Cassandra Clare,2007.0,City of Bones,eng,4.12,1154031,51589,34122,65349,203466,356048,582814
51,52,428263,428263,2675454,185,316160202,9780316160210.0,Stephenie Meyer,2007.0,Eclipse,en-US,3.69,1134511,35216,83094,124293,260763,309358,399134
52,53,113436,113436,3178011,217,375826696,9780375826700.0,Christopher Paolini,2002.0,Eragon,en-US,3.86,1104021,18280,50563,88536,240157,337943,408032
53,54,11,386162,3078186,257,345391802,9780345391800.0,Douglas Adams,1979.0,The Hitchhiker's Guide to the Galaxy,en-US,4.2,936782,20345,21764,41962,145173,299579,498001
54,55,5129,5129,3204877,515,60929871,9780060929880.0,Aldous Huxley,1932.0,Brave New World,eng,3.97,1022601,20095,26367,60328,219895,389379,383166
55,56,1162543,1162543,2960529,183,031606792X,9780316067930.0,Stephenie Meyer,2008.0,Breaking Dawn,en-US,3.7,1070245,44550,100994,114893,213402,267706,410714
56,57,37435,37435,3275013,125,142001740,9780142001740.0,Sue Monk Kidd,2001.0,The Secret Life of Bees,en-US,4.01,916189,26522,17500,45455,185631,347540,341267
